graph_file,n_nodes,method,k,sigma,normalize_profiles,inertia,selected_eigenvalues,cluster_sizes,embedding_path
demos/graph_files/dallas-austin-llamma.json,60,functional_rbf,3,0.5,False,1.2248386342335238,"[-1.4659585248275832e-16, -8.848844045524845e-17, -5.814634509659554e-17]","{""0"": 55, ""1"": 2, ""2"": 3}",demos/spectral_outputs/dallas-austin-llamma__functional_rbf__k3__sigma0.5__norm0__embedding.npy
demos/graph_files/dallas-austin-llamma.json,60,functional_rbf,3,1.0,False,1.7317814670508984,"[-1.7927169087190207e-16, -6.409188096313675e-17, -4.2699314081942164e-17]","{""0"": 8, ""1"": 1, ""2"": 51}",demos/spectral_outputs/dallas-austin-llamma__functional_rbf__k3__sigma1__norm0__embedding.npy
demos/graph_files/dallas-austin-llamma.json,60,functional_rbf,3,2.0,False,1.5212964615394227,"[-2.241786389383449e-16, -1.680328056416662e-16, -8.89903652135898e-17]","{""0"": 1, ""1"": 56, ""2"": 3}",demos/spectral_outputs/dallas-austin-llamma__functional_rbf__k3__sigma2__norm0__embedding.npy
demos/graph_files/dallas-austin-llamma.json,60,functional_rbf,5,0.5,False,2.2115726862095446,"[-1.4659585248275832e-16, -8.848844045524845e-17, -5.814634509659554e-17, -4.029365016638128e-17, -3.423071888566652e-17]","{""0"": 43, ""1"": 1, ""2"": 8, ""3"": 4, ""4"": 4}",demos/spectral_outputs/dallas-austin-llamma__functional_rbf__k5__sigma0.5__norm0__embedding.npy
demos/graph_files/dallas-austin-llamma.json,60,functional_rbf,5,1.0,False,2.3345815392933393,"[-1.7927169087190207e-16, -6.409188096313675e-17, -4.2699314081942164e-17, -2.229498626315882e-17, -9.474363251948013e-18]","{""0"": 47, ""1"": 2, ""2"": 5, ""3"": 3, ""4"": 3}",demos/spectral_outputs/dallas-austin-llamma__functional_rbf__k5__sigma1__norm0__embedding.npy
demos/graph_files/dallas-austin-llamma.json,60,functional_rbf,5,2.0,False,2.0482251069807327,"[-2.241786389383449e-16, -1.680328056416662e-16, -8.89903652135898e-17, -2.830392392986686e-17, -1.4825142124900804e-17]","{""0"": 1, ""1"": 1, ""2"": 50, ""3"": 2, ""4"": 6}",demos/spectral_outputs/dallas-austin-llamma__functional_rbf__k5__sigma2__norm0__embedding.npy
demos/graph_files/dallas-austin-llamma.json,60,signed_laplacian,3,,False,0.6759797945422872,"[3.4849775655474318, 3.9733439393183425, 4.554924374713441]","{""0"": 12, ""1"": 47, ""2"": 1}",demos/spectral_outputs/dallas-austin-llamma__signed_laplacian__k3__sigmanone__norm0__embedding.npy
demos/graph_files/dallas-austin-llamma.json,60,signed_laplacian,5,,False,0.7445437027713118,"[3.4849775655474318, 3.9733439393183425, 4.554924374713441, 4.959583177961451, 5.414123891397715]","{""0"": 1, ""1"": 46, ""2"": 1, ""3"": 11, ""4"": 1}",demos/spectral_outputs/dallas-austin-llamma__signed_laplacian__k5__sigmanone__norm0__embedding.npy
circuit_tracer/gemma2_clt/graph_files/water-clt-hp.json,606,functional_rbf,3,0.5,False,1.4682074716039943,"[-6.8393219295403936e-15, -3.3098059704180327e-15, -2.9851288930350057e-15]","{""0"": 15, ""1"": 2, ""2"": 589}",demos/spectral_outputs/water-clt-hp__functional_rbf__k3__sigma0.5__norm0__embedding.npy
circuit_tracer/gemma2_clt/graph_files/water-clt-hp.json,606,functional_rbf,3,1.0,False,0.6023017528789195,"[-1.3763507409113526e-14, -1.1435075235596946e-14, -8.296834905940939e-15]","{""0"": 600, ""1"": 4, ""2"": 2}",demos/spectral_outputs/water-clt-hp__functional_rbf__k3__sigma1__norm0__embedding.npy
circuit_tracer/gemma2_clt/graph_files/water-clt-hp.json,606,functional_rbf,3,2.0,False,0.5674638662588476,"[-6.088956757296355e-14, -5.365686985331813e-14, -3.997402181828375e-14]","{""0"": 2, ""1"": 1, ""2"": 603}",demos/spectral_outputs/water-clt-hp__functional_rbf__k3__sigma2__norm0__embedding.npy
circuit_tracer/gemma2_clt/graph_files/water-clt-hp.json,606,functional_rbf,5,0.5,False,2.3136122024693386,"[-6.8393219295403936e-15, -3.3098059704180327e-15, -2.9851288930350057e-15, -1.5270943585471248e-15, -1.2795965334317991e-15]","{""0"": 1, ""1"": 2, ""2"": 8, ""3"": 11, ""4"": 584}",demos/spectral_outputs/water-clt-hp__functional_rbf__k5__sigma0.5__norm0__embedding.npy
circuit_tracer/gemma2_clt/graph_files/water-clt-hp.json,606,functional_rbf,5,1.0,False,1.3077752162578005,"[-1.3763507409113526e-14, -1.1435075235596946e-14, -8.296834905940939e-15, -6.0053548796807854e-15, -5.4769574542473504e-15]","{""0"": 596, ""1"": 1, ""2"": 4, ""3"": 3, ""4"": 2}",demos/spectral_outputs/water-clt-hp__functional_rbf__k5__sigma1__norm0__embedding.npy
circuit_tracer/gemma2_clt/graph_files/water-clt-hp.json,606,functional_rbf,5,2.0,False,1.999995955951318,"[-6.088956757296355e-14, -5.365686985331813e-14, -3.997402181828375e-14, 1.4729864545992465e-14, 2.6200603689811447e-13]","{""0"": 1, ""1"": 1, ""2"": 4, ""3"": 3, ""4"": 597}",demos/spectral_outputs/water-clt-hp__functional_rbf__k5__sigma2__norm0__embedding.npy
circuit_tracer/gemma2_clt/graph_files/water-clt-hp.json,606,signed_laplacian,3,,False,0.9984210366012188,"[0.026962212421783302, 0.033974089215461634, 0.035377699555284366]","{""0"": 604, ""1"": 1, ""2"": 1}",demos/spectral_outputs/water-clt-hp__signed_laplacian__k3__sigmanone__norm0__embedding.npy
circuit_tracer/gemma2_clt/graph_files/water-clt-hp.json,606,signed_laplacian,5,,False,1.00003782462161,"[0.026962212421783302, 0.033974089215461634, 0.035377699555284366, 0.03702450022676842, 0.03768716030569731]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 2, ""4"": 601}",demos/spectral_outputs/water-clt-hp__signed_laplacian__k5__sigmanone__norm0__embedding.npy
